Address,Allocation%,Points
0x021e1a45f8ccf57bedb37702f87f3991e718acc7,0.03%,2
0x0249bad1a9560a0ea754e12fdda650be9f46c7f8,0.03%,2
0x027dbae8cae90469d2e9ebc6e93ab8a0938d9de0,0.03%,2
0x0303a1dd3dc0bdc60a5358a5f23868565daff6c6,0.03%,2
0x038bf47b6d00a91c9bbdecf00f46d9192658eb49,0.03%,2
0x0391314befa3c5c52e560aefdbb5a1300f058935,0.03%,2
0x03a310d05f0521f92ba377582f52d7d1423b93fd,0.03%,2
0x0496e3e59df437e337d33f69fd0f92da3ea4d154,0.03%,2
0x068ca18455849a70b0a2b70d1d36039c77f44343,0.03%,2
0x06a4f7296a882a4793d3d41b8846ab5e2bbb4c0a,0.03%,2
0x06b4f02100e6757bb3d21291b541bbaa80f6ec90,0.03%,2
0x072213b5322bf1baa7a929f19c984b0642861d16,0.03%,2
0x07308c5af912a6f49f46be51ed5f76cf4481bff5,0.03%,2
0x074d190ba7191d5b272865b13506695a0ad7c62d,0.03%,2
0x075c32a7df52353aefdd7e17d629a2d00738e3ee,0.03%,2
0x07ccff2b9519801823e25bd05db7d50e1fc2a77b,0.03%,2
0x07f40e4bc71e1b6166c7b3cdc7fc2ac1a3e31284,0.03%,2
0x083041d85809f092ba751e6eb71da1c234053d0c,0.03%,2
0x08760dc5e12223151515c7716e1b90904c509c29,0.03%,2
0x08f05f036e7a59514c566d7cadf63d325e024a84,0.03%,2
0x09178d8da538092c20a4bfdff31d05b25354fe90,0.03%,2
0x092f5d5c85baa77d022429930bd3ff627bf6ed6e,0.03%,2
0x099b56fd9c438b4113762101ebb4010d7da1e01c,0.03%,2
0x09af0d4ec0c174895846d553b3890a6562bfc10b,0.03%,2
0x0a1260e00d5d019195a01aacc61bc6f0f5a6b399,0.03%,2
0x0a2ff3cb3c443e75b36eb1d6e1cc05ebc1d67974,0.03%,2
0x0a574feef18cdfb3992c679becb411c0f9f924c0,0.03%,2
0x0b5058f6caed427334fefb0d29af62d70ba4863c,0.03%,2
0x0b95f218d9032ebcb9ea928c7621e2ec7d19e390,0.03%,2
0x0bc0638aa00f6cf3a45b4ccabc191ac7d2d0c785,0.03%,2
0x0bd48892671650cd5377368ebdf9a19b09837f08,0.03%,2
0x0bf1306d1bf5168120c0aa2284b2acc50d8df17a,0.03%,2
